iter	AUC	Logloss	Accuracy	Precision	Recall
31	0.823469609	0.5229601023	0.835573992	0.6791889917	0.3374658148
32	0.82351771	0.5196011821	0.8355665279	0.6791728998	0.3374174109
33	0.8235979676	0.5163106486	0.8355782283	0.6792273983	0.3374527054
34	0.824030906	0.5131162904	0.8356276524	0.6800303773	0.3368113539
35	0.8241886795	0.5099544108	0.8356754626	0.6800740296	0.3372026187
36	0.8244716525	0.507065221	0.8357178261	0.6799223857	0.3378117008
37	0.8247392178	0.5040100067	0.8357821782	0.680128759	0.3381343934
38	0.8251776397	0.5011821935	0.8358545996	0.6813140688	0.3371895093
39	0.8253715932	0.4983550863	0.8358870783	0.6814289265	0.3373377462
40	0.8257394135	0.4957033842	0.8359399318	0.6827373001	0.3360590769
41	0.8260854185	0.4928990726	0.8360490682	0.6847002331	0.3344546899
42	0.8261065781	0.4902865063	0.8360518924	0.6841762915	0.3351757061
43	0.8262893558	0.4878400653	0.8362443437	0.6858697921	0.3347188945
44	0.8264611959	0.4855053833	0.8362980041	0.6855572103	0.3356254588
45	0.8266331851	0.4831569331	0.8363381486	0.6858774063	0.3355740297
46	0.8267892897	0.4809021365	0.8363996765	0.6865704933	0.3352311689
47	0.8269617856	0.4785718926	0.8365677183	0.6873297059	0.3357827714
48	0.8271398842	0.476203471	0.8368604299	0.6880466712	0.3375283364
49	0.8279041052	0.4739406556	0.8370704317	0.6894870612	0.3375737151
50	0.827983886	0.4717150091	0.8373502325	0.689733308	0.3397982768
51	0.8280324638	0.4696408121	0.8374174089	0.6900799548	0.3399586147
52	0.8282640576	0.4674668591	0.8375549893	0.6902289279	0.3410134159
53	0.8284489214	0.4655139024	0.8376810711	0.6904907894	0.3418161137
54	0.8285708725	0.4636304419	0.83777185	0.6911071831	0.3418382988
55	0.8288215399	0.4617582279	0.8378581908	0.6917772847	0.3417525836
56	0.828880161	0.4598533336	0.8378920816	0.6926708232	0.3409115661
57	0.8290815949	0.4580219197	0.8379909298	0.693206852	0.3411152658
58	0.829223156	0.4562849158	0.8380127167	0.6938426606	0.3405031584
59	0.8294971287	0.4545694468	0.8381605855	0.6946689635	0.3407804723
60	0.8296017647	0.4529324006	0.8383120854	0.6949027808	0.3418362819
61	0.8296785057	0.4513226889	0.8384815393	0.6953400986	0.342793267
62	0.8303278387	0.4495978394	0.8386108488	0.6963873597	0.3426248618
63	0.8309654593	0.4479937258	0.8387054606	0.6969790186	0.342722678
64	0.8311135769	0.4463653036	0.8387671902	0.6970366016	0.3431966327
65	0.8314069808	0.444797552	0.8388640211	0.6978287848	0.3430645304
66	0.8314691782	0.4432320698	0.8388630124	0.6974336613	0.3435475608
67	0.8315605223	0.4418501123	0.8388841942	0.6978858841	0.3431714223
68	0.8316937089	0.4404393578	0.8389194971	0.6986711647	0.3425099026
69	0.8317624927	0.4390532648	0.8389836475	0.6994117065	0.3421619997
70	0.8318939209	0.4376962715	0.8390465875	0.6993502913	0.3427892334
71	0.8319349885	0.4362989321	0.8389745696	0.6997181354	0.3417072049
72	0.8320540488	0.4350057867	0.8390173366	0.6996854924	0.3421216632
73	0.8326266706	0.4336071864	0.8391575395	0.7010219492	0.3417182975
74	0.8331272602	0.4323051648	0.8393084342	0.7019694642	0.3418856942
75	0.8333894312	0.4310468179	0.8394552943	0.7025738109	0.3424322547
76	0.8335984051	0.4298100058	0.839521462	0.7026950501	0.3428598224
77	0.8337090909	0.4285734459	0.8395688688	0.7022269545	0.3438359673
78	0.8339349926	0.427408803	0.8397738274	0.7031493454	0.344497487
79	0.8343568742	0.4261186331	0.8398125597	0.7036865229	0.344185887
80	0.8344501853	0.424956764	0.8398849811	0.7035810519	0.344938164
81	0.834508121	0.4238168836	0.8398906296	0.7040227871	0.344456142
82	0.8345938325	0.4228090865	0.8399963366	0.7040060842	0.3453879168
83	0.8346725702	0.4218340455	0.8399884691	0.7040125494	0.3453122857
84	0.8351014853	0.4207840362	0.8400705735	0.7051779922	0.3446245472
85	0.8353021741	0.419769708	0.8401938311	0.7054577664	0.345349597
86	0.8356851041	0.4186384264	0.8402920741	0.7061415264	0.345378841
87	0.8357686698	0.4176793978	0.8403271752	0.7067668085	0.3449391725
88	0.8358318806	0.4167823257	0.8403731699	0.7072618718	0.3447485822
89	0.8359210491	0.4158202207	0.8404328822	0.7075431498	0.3449270715
90	0.836004734	0.4148736993	0.840513978	0.7081785464	0.3448726171
91	0.8361199796	0.4139196887	0.8405198282	0.7085129724	0.3445317731
92	0.8363441229	0.4131271889	0.8406124227	0.7092079915	0.3445085796
93	0.836407721	0.4123070268	0.8406158521	0.7090412061	0.3447314391
94	0.836528033	0.4114293965	0.8406576104	0.7095744946	0.3444662262
95	0.8366661072	0.4105725698	0.840657207	0.7098906951	0.3440971466
96	0.8367745578	0.4097484991	0.8406610399	0.7101741201	0.3438026896
97	0.8368764222	0.4089476779	0.8406703195	0.710378037	0.3436463854
98	0.8368869126	0.4082361982	0.8407415305	0.7104191816	0.3442000048
99	0.8369953632	0.4076121689	0.8408355371	0.7112118559	0.3440820204
100	0.8370701671	0.4068360345	0.8408413873	0.7114999739	0.3438016812
101	0.8371298015	0.4061370118	0.8409529445	0.7119111667	0.3442695854
102	0.8372146189	0.4054127475	0.8409489098	0.7119521912	0.3441889123
103	0.8372993171	0.4046893405	0.8409265177	0.7120828313	0.3438521019
104	0.8373816311	0.4039835345	0.8409164312	0.7122052255	0.343628234
105	0.8374648392	0.4034109718	0.8409664604	0.7126439426	0.3435495777
106	0.8375683427	0.402763693	0.8409781608	0.7130200881	0.3432218431
107	0.8377670646	0.4021525997	0.8410731761	0.7137216334	0.3432248683
108	0.8378795981	0.4015306886	0.8411215915	0.7141448059	0.3431532709
109	0.8379775584	0.4009184858	0.8411595169	0.7144834161	0.3430897408
110	0.8380751014	0.4003139235	0.841163955	0.7146949774	0.3428900748
111	0.8381150365	0.39972845	0.8412087392	0.7148722819	0.3430645304
112	0.8385294378	0.3989303774	0.8412938697	0.7154279251	0.3431522625
113	0.83861655	0.3983646736	0.8413386539	0.7157438449	0.3431724308
114	0.8388166726	0.3978166464	0.8414076459	0.7163291688	0.3430947829
115	0.838904351	0.3972774197	0.8414600959	0.7166795142	0.3431411699
116	0.8390326798	0.3966917193	0.8414982231	0.7166654393	0.3434719298
117	0.8390747607	0.3961189296	0.8415206152	0.7165839815	0.3437472269
118	0.8391494751	0.3956649595	0.841564996	0.7169748606	0.3436816799
119	0.8392577767	0.3952220089	0.8416739307	0.7177829352	0.3436897473
120	0.8393392861	0.3947119323	0.8416943055	0.7179778903	0.3436433602
121	0.8393750191	0.394178808	0.841709637	0.717851407	0.3439085731
122	0.839771688	0.3934928473	0.8418486296	0.7187648786	0.3440497511
123	0.8399634063	0.3928920675	0.8419041056	0.7191011709	0.3441374832
124	0.840056479	0.3923976755	0.8419200423	0.7192070369	0.3441526094
125	0.8401267529	0.3919385865	0.8419269012	0.7192604208	0.3441505925
126	0.8403664529	0.3913826161	0.8419910516	0.719704797	0.3441919375
127	0.8404102325	0.3909608977	0.8420063832	0.7196950536	0.3443280734
128	0.8405205905	0.3906274365	0.8420745682	0.720489037	0.3440235324
129	0.8405719995	0.3902150734	0.8420892946	0.7205516828	0.3440759699
130	0.840621233	0.3897577242	0.8421266148	0.7205891042	0.3443401744
131	0.8406553566	0.3893512617	0.8421459809	0.7205386779	0.3445529498
132	0.8407061696	0.3889448244	0.8421659523	0.7205821276	0.3446689174
133	0.840806812	0.3885270901	0.8422004483	0.7207833281	0.3447324475
134	0.8409312665	0.388174288	0.842292841	0.7215286603	0.34468001
135	0.8411182761	0.3877331278	0.8423707092	0.7220945364	0.3447042119
136	0.8414444923	0.3871716351	0.8424635054	0.7226565967	0.3448544657
137	0.8417723477	0.3866153369	0.8425778868	0.7232872949	0.3451065692
138	0.8418482542	0.386230737	0.8426000772	0.7234035358	0.345162032
139	0.8418687284	0.3858442458	0.842620452	0.7233313764	0.3454040514
140	0.8419854641	0.3855509543	0.8426936803	0.7240624451	0.3452164864
141	0.8420227766	0.3852220573	0.8426963028	0.7239629797	0.3453435466
142	0.8421955407	0.3848025831	0.8427725571	0.7242980384	0.345602709
143	0.8423487544	0.3844175293	0.8428120963	0.7245469111	0.3456571634
144	0.8426458836	0.3839168332	0.8429192155	0.725120968	0.3459112838
145	0.8426964879	0.3836074789	0.8429416076	0.7251407248	0.3460706132
146	0.8427449763	0.3832813809	0.8429444318	0.7251716924	0.3460605291
147	0.8427834213	0.3829690258	0.8429674291	0.7251113786	0.3463096074
148	0.8428281546	0.3826525101	0.8429775157	0.7250824219	0.3464215413
149	0.843006134	0.3823447948	0.843026738	0.7256294725	0.34623801
150	0.8431749046	0.3820594212	0.8431072286	0.7263424079	0.3461321265
151	0.8433754742	0.3816613053	0.8431526181	0.7266385011	0.346184564
152	0.8434299529	0.3813691234	0.8431649237	0.7265567986	0.3463691038
153	0.8434615135	0.3810430506	0.84320063	0.7265250229	0.3466887711
154	0.8434833288	0.3807777997	0.8431907452	0.7263914385	0.3467502844
155	0.8436647058	0.3804979989	0.8432680082	0.72705643	0.3466696112
156	0.8438168764	0.3801437847	0.8433311499	0.7272302662	0.3469923038
157	0.84382236	0.3798753061	0.843340833	0.7270276489	0.3472827271
158	0.8439805508	0.3796035242	0.843401554	0.727454368	0.3473200384
159	0.844045341	0.3792945733	0.8434427071	0.7274219479	0.3476830675
160	0.8441389203	0.379012024	0.8434596525	0.7275393633	0.3476951685
161	0.8442589939	0.3787160848	0.84349899	0.727668712	0.3478736578
162	0.8442805707	0.3784337876	0.8435171458	0.7275572331	0.3481358455
163	0.8443223834	0.3781899454	0.843567982	0.7275484709	0.3485513121
164	0.8443606794	0.377944565	0.8435734287	0.7274911732	0.3486551788
165	0.8444008827	0.3777080355	0.8435847257	0.7273998469	0.3488417354
166	0.8444305658	0.377443995	0.843620432	0.7272767361	0.3492572021
167	0.8446908295	0.3770591681	0.8437136317	0.7276824417	0.3495738442
168	0.8448754549	0.3767997674	0.8438082435	0.7283880321	0.3495859451
169	0.8450021446	0.3765805111	0.8438469758	0.7287531539	0.3495113225
170	0.8452378511	0.37620393	0.8439434032	0.7291323426	0.3498814105
171	0.8452937901	0.3759689387	0.8439432015	0.7290509072	0.3499651089
172	0.8453363776	0.3757172542	0.8439849598	0.7289734724	0.3503785587
173	0.8454979062	0.3754965606	0.8440495136	0.7295644247	0.3502726752
174	0.8456098437	0.3752200884	0.8440795715	0.7296471038	0.3504249457
175	0.8458285332	0.3748660507	0.8441624829	0.7299380967	0.3507788991
176	0.8460790515	0.3745315052	0.8442094862	0.7300816555	0.3510017587
177	0.8461081386	0.3743330272	0.8442215901	0.7300162465	0.3511661302
178	0.8461668789	0.374115057	0.8442312732	0.7300424462	0.3512155425
179	0.846200645	0.3739172851	0.8442417632	0.7300120901	0.3513305017
180	0.8462416232	0.3736916995	0.8442657692	0.7299079389	0.3516300007
181	0.846274972	0.3735108982	0.8442754522	0.7298244366	0.3517943722
182	0.8464484811	0.3732802946	0.8443504961	0.7303851372	0.3518024396
183	0.8464695811	0.3730999976	0.8443561446	0.7302380265	0.3520010972
184	0.8465786576	0.3728486157	0.8444055687	0.7304263262	0.3521957211
185	0.8465964198	0.3726637293	0.8444089981	0.7301077155	0.3525567334
186	0.8469123542	0.3723120367	0.8444574135	0.7304381977	0.3525940447
187	0.8470472097	0.3721204933	0.8445193449	0.7308818581	0.3526202635
188	0.8471633494	0.3718838377	0.844576233	0.730991172	0.3529560654
189	0.847427845	0.3715754668	0.8446115359	0.7312825956	0.3529308551
190	0.8475397229	0.3713314985	0.8446647929	0.7312675033	0.3533674984
191	0.8476607203	0.3711478982	0.8447337848	0.7316253193	0.3535389288
192	0.847876966	0.3708238175	0.8447930937	0.7316768115	0.3539533871
193	0.8479055166	0.3706705525	0.8448088287	0.7315891432	0.3541691877
194	0.8479258418	0.3705141606	0.8448263793	0.7315336207	0.3543658285
195	0.8481376767	0.3702126486	0.8449000111	0.7317442025	0.3547268408
196	0.8481468558	0.3700396643	0.8449312794	0.731548503	0.3551786103
197	0.8482169807	0.3699020839	0.8449692048	0.7318593174	0.3551523916
198	0.8484627604	0.3695926791	0.8450311362	0.7319666822	0.3555285301
199	0.8484956622	0.3694139708	0.8450835862	0.7320217378	0.3558845003
200	0.8485617042	0.3692780798	0.8451049697	0.7321335972	0.3559359294
201	0.8487741947	0.3690275048	0.8451840482	0.7325594421	0.3561134103
202	0.8487902284	0.3688901513	0.8452086593	0.732427549	0.3564451786
203	0.8489904106	0.3686074002	0.8452899569	0.7326594712	0.3568424938
204	0.8490380347	0.3684490415	0.8453325221	0.7327357526	0.3570976226
205	0.8492791057	0.3681430661	0.8453884016	0.7328474398	0.3574203151
206	0.8493029177	0.3680123193	0.8453954621	0.7327455097	0.3575826698
207	0.8494163752	0.3678087476	0.8454448862	0.7327173247	0.3580011617
208	0.8495251834	0.3676530366	0.8454755493	0.7329309103	0.3580183047
209	0.8495446444	0.3675318972	0.8454876532	0.7328889944	0.3581574659
210	0.8497350812	0.3672666463	0.8455550313	0.7331066101	0.3584589817
211	0.8498102427	0.3670953263	0.8455992103	0.7330416656	0.3588744484
212	0.8498698473	0.3669834665	0.8456260406	0.7332358122	0.3588815073
213	0.8499476314	0.3668168368	0.8456710265	0.7331969608	0.3592757973
214	0.8501591086	0.3665513842	0.8457254939	0.7331897278	0.3597114322
215	0.8502480686	0.3663834432	0.8457638228	0.7332938846	0.3599030309
